run_id,workload,force,window_idx,t_ms,hw_threads,pcore_threads,pcore_count,ecore_count,d_inst,d_cycles,d_mem,d_cache_miss,d_pf,d_mem_stall,d_uops,IPC,CPI,Cache_Miss_Ratio,Uop_per_Cycle,MemStall_per_Mem,MemStall_per_Inst,FaultRate_per_mem,RChar_per_Cycle,WChar_per_Cycle,RBytes_per_Cycle,WBytes_per_Cycle
r2,thread_stress,E,5,521.442,11,0,0,8,11439120,12348964,5233529,5605,18,314749,2130890,0.92632224,1.07953794,0.00107098,0.17255618,0.06014087,0.02751514,0.00000344,0.00053551,0.00039631,0.00000000,0.00000000
r2,thread_stress,E,6,622.136,5,0,0,4,6924340,7875547,2635044,4633,18,650384,0,0.87922020,1.13737150,0.00175822,0.00000000,0.24682093,0.09392722,0.00000683,0.00083969,0.00062167,0.00000000,0.00000000
r2,thread_stress,E,7,722.649,1,0,0,1,2308814,3019983,771825,5268,18,716473,3744331,0.76451225,1.30802351,0.00682538,1.23985168,0.92828426,0.31032080,0.00002332,0.00104537,0.00141127,0.00000000,0.00000000
r2,thread_stress,E,8,823.208,1,0,0,1,2058987,5022814,874292,4446,18,606127,3271594,0.40992699,2.43945882,0.00508526,0.65134683,0.69327753,0.29438117,0.00002059,0.00017042,0.00076551,0.00000000,0.00000000
r2,thread_stress,E,9,923.730,1,0,0,1,2061152,4897524,922148,4668,18,660279,3161462,0.42085593,2.37611006,0.00506209,0.64552251,0.71602281,0.32034464,0.00001952,0.00017458,0.00078550,0.00000000,0.00000000
r2,thread_stress,E,1,117.227,10,0,0,8,7165801,8791784,3908444,7147,33,1019466,1393730,0.81505653,1.22690876,0.00182860,0.15852642,0.26083679,0.14226825,0.00000844,0.00003492,0.00032690,0.00000000,0.00000000
r2,thread_stress,E,2,218.508,11,0,0,8,13364336,9083376,5005704,5667,18,745795,3075763,1.47129613,0.67967282,0.00113211,0.33861452,0.14898903,0.05580487,0.00000360,0.00058436,0.00052756,0.00000000,0.00045093
r2,thread_stress,E,3,320.451,11,0,0,7,12291222,12645236,4756164,5115,18,681108,3287268,0.97200416,1.02880218,0.00107545,0.25996098,0.14320532,0.05541418,0.00000378,0.00051869,0.00038726,0.00000000,0.00000000
r2,thread_stress,E,4,422.258,11,0,0,8,12654293,12820944,4977629,5498,18,839810,3246838,0.98700166,1.01316952,0.00110454,0.25324485,0.16871687,0.06636562,0.00000362,0.00051158,0.00038188,0.00000000,0.00000000
r2,thread_stress,E,5,523.862,11,0,0,8,11153640,11985834,5200798,5178,18,316612,2270523,0.93056854,1.07461188,0.00099562,0.18943388,0.06087758,0.02838643,0.00000346,0.00054740,0.00040865,0.00000000,0.00000000
r2,thread_stress,E,6,625.620,11,0,0,7,12073432,11406915,5203918,5309,18,716795,0,1.05843096,0.94479474,0.00102019,0.00000000,0.13774141,0.05936961,0.00000346,0.00057500,0.00042921,0.00000000,0.00000000
r2,thread_stress,E,7,726.162,1,0,0,1,2108107,239585,987186,4850,18,729459,3228712,8.79899409,0.11364935,0.00491295,13.47626938,0.73892762,0.34602560,0.00001823,0.02737233,0.02041864,0.00000000,0.00000000
r2,thread_stress,E,8,826.748,1,0,0,1,2158493,4241771,783077,4218,18,686499,3360101,0.50886599,1.96515393,0.00538644,0.79214578,0.87666858,0.31804551,0.00002299,0.00019992,0.00090740,0.00000000,0.00000000
r2,thread_stress,E,9,927.165,1,0,0,1,2037531,4932470,914006,1867,18,455008,2299260,0.41308533,2.42080734,0.00204266,0.46614779,0.49781730,0.22331341,0.00001969,0.00017172,0.00077993,0.00000000,0.00000000
r2,highmiss_loop,E,1,120.200,33,0,0,8,40117941,35019745,16218882,19186,95,2498376,7429986,1.14558061,0.87291980,0.00118294,0.21216562,0.15404120,0.06227578,0.00000586,0.00001896,0.00016685,0.00000000,0.00000000
r2,highmiss_loop,E,2,223.469,33,0,0,8,40633515,33647774,16838352,14649,84,2023084,8649510,1.20761376,0.82807933,0.00086998,0.25706039,0.12014739,0.04978856,0.00000499,0.00058001,0.00031791,0.00000000,0.00012173
r2,highmiss_loop,E,3,326.292,33,0,0,8,40985395,36437365,16374861,13667,84,2053873,10759299,1.12481775,0.88903291,0.00083463,0.29528203,0.12542842,0.05011231,0.00000513,0.00053580,0.00029352,0.00000000,0.00000000
r2,highmiss_loop,E,4,428.441,11,0,0,8,13114239,13416047,5431346,13444,84,1945040,7964053,0.97750395,1.02301376,0.00247526,0.59362143,0.35811381,0.14831513,0.00001547,0.00144268,0.00073375,0.00000000,0.00030531
r2,highmiss_loop,E,5,529.129,1,0,0,1,5281692,9396685,2480090,6142,56,1087376,6893689,0.56208035,1.77910507,0.00247652,0.73362989,0.43844215,0.20587645,0.00002258,0.00063810,0.00080305,0.00000000,0.00000000
r2,highmiss_loop,E,6,632.397,33,0,0,8,38070526,33079205,16850841,13560,84,1730735,8651777,1.15088999,0.86889278,0.00080471,0.26154731,0.10270912,0.04546128,0.00000498,0.00003718,0.00022210,0.00000000,0.00000000
r2,highmiss_loop,E,7,736.906,33,0,0,8,37260097,31666851,16710221,16195,84,2253038,6118032,1.17662779,0.84988643,0.00096917,0.19319989,0.13482993,0.06046785,0.00000503,0.00061661,0.00033786,0.00000000,0.00000000
r2,highmiss_loop,P,1,111.198,33,33,8,0,49816558,30672863,16638485,4584,95,9217294,0,1.62412482,0.61571622,0.00027551,0.00000000,0.55397436,0.18502471,0.00000571,0.00002230,0.00019046,0.00000000,0.00000000
r2,highmiss_loop,P,2,213.673,33,33,8,0,49711030,29529352,16571730,3420,84,8249358,0,1.68344466,0.59402012,0.00020638,0.00000000,0.49779703,0.16594623,0.00000507,0.00063428,0.00036042,0.00000000,0.00000000
r2,highmiss_loop,P,3,316.159,33,33,8,0,49630363,29125140,16540301,3407,84,7907071,0,1.70403861,0.58684116,0.00020598,0.00000000,0.47804880,0.15931923,0.00000508,0.00064312,0.00036542,0.00000000,0.00000000
r2,highmiss_loop,P,4,418.376,33,33,8,0,49474166,29813375,16479875,3624,84,8662856,0,1.65946210,0.60260490,0.00021990,0.00000000,0.52566272,0.17509858,0.00000510,0.00062831,0.00035699,0.00000000,0.00000000
r2,highmiss_loop,P,5,520.937,33,33,8,0,49505498,28529598,16490420,2878,84,7727080,0,1.73523293,0.57629151,0.00017453,0.00000000,0.46857994,0.15608529,0.00000509,0.00065658,0.00037305,0.00000000,0.00000000
r2,highmiss_loop,P,6,624.177,33,33,8,0,49536388,27996718,16504714,2480,84,7772496,0,1.76936411,0.56517480,0.00015026,0.00000000,0.47092582,0.15690478,0.00000509,0.00066911,0.00038015,0.00000000,0.00000000
